transaction_id,transaction_date,sales_channel,item_name,units_sold,sales_amount
TXN-00001,2024-02-18,Online,Water Bottle,2,227.66
TXN-00002,2024-02-16,Online,Notebook,6,109.32
TXN-00003,2024-10-13,Online,Notebook,4,56.48
TXN-00004,2024-06-28,Retail Store,Desk Lamp,4,108.2
TXN-00005,2024-07-31,Online,Headphones,5,151.85
TXN-00006,2024-08-04,Retail Store,Backpack,5,118.6
TXN-00007,2024-09-13,Retail Store,Notebook,1,13.74
TXN-00008,2024-01-11,Online,Notebook,2,58.2
TXN-00009,2024-06-23,Retail Store,Desk Lamp,6,184.14
TXN-00010,2024-02-23,Retail Store,Water Bottle,1,60.15
TXN-00011,2024-05-24,Marketplace,Backpack,1,79.49
TXN-00012,2024-11-30,Retail Store,Desk Lamp,5,234.2
TXN-00013,2024-07-16,Online,Water Bottle,2,48.68
TXN-00014,2024-01-26,Online,Water Bottle,4,63.56
TXN-00015,2024-07-14,Marketplace,Notebook,6,211.5
TXN-00016,2024-02-16,Retail Store,Backpack,7,172.48
TXN-00017,2024-09-28,Online,Desk Lamp,6,361.92
TXN-00018,2024-12-07,Retail Store,Desk Lamp,2,210.36
TXN-00019,2024-12-18,Marketplace,Water Bottle,3,262.17
TXN-00020,2024-08-11,Marketplace,Notebook,6,170.22
TXN-00021,2024-11-08,Retail Store,Desk Lamp,6,54.72
TXN-00022,2024-05-12,Online,Notebook,7,89.46
TXN-00023,2024-02-22,Online,Headphones,6,330.72
TXN-00024,2024-07-03,Marketplace,Water Bottle,7,327.67
TXN-00025,2024-06-08,Retail Store,Desk Lamp,3,250.44
TXN-00026,2024-08-26,Retail Store,Water Bottle,7,102.55
TXN-00027,2024-12-24,Marketplace,Backpack,3,102.81
TXN-00028,2024-04-09,Retail Store,Headphones,2,167.72
TXN-00029,2024-11-04,Retail Store,Notebook,4,281.32
TXN-00030,2024-02-19,Marketplace,Water Bottle,2,128.84
TXN-00031,2024-05-05,Marketplace,Desk Lamp,1,108.69
TXN-00032,2024-10-10,Retail Store,Desk Lamp,2,36.06
TXN-00033,2024-03-30,Retail Store,Backpack,3,82.44
TXN-00034,2024-08-29,Online,Notebook,3,210.12
TXN-00035,2024-06-14,Online,Headphones,1,70.01
TXN-00036,2024-07-03,Marketplace,Notebook,1,117.71
TXN-00037,2024-12-04,Online,Headphones,1,117.4
TXN-00038,2024-10-21,Online,Water Bottle,2,145.08
TXN-00039,2024-10-29,Retail Store,Notebook,6,553.62
TXN-00040,2024-07-16,Online,Backpack,1,85.2
TXN-00041,2024-12-19,Online,Notebook,3,60.87
TXN-00042,2024-12-19,Retail Store,Notebook,7,519.82
TXN-00043,2024-02-18,Marketplace,Water Bottle,3,120.48
TXN-00044,2024-03-14,Online,Notebook,3,138.84
