order_id,order_date,region,product_category,customer_id,quantity,unit_price,revenue
ORD-00358,2025-04-26,North,Home Goods,CUST-0040,9,91.77,825.93
ORD-00338,2024-06-20,South,Apparel,CUST-0147,10,134.13,1341.3
ORD-00328,2024-01-21,East,Books,CUST-0031,11,148.62,1634.82
ORD-00014,2025-02-15,North,Apparel,CUST-0166,9,226.2,2035.8
ORD-00419,2024-06-09,North,Home Goods,CUST-0052,10,183.03,1830.3
ORD-00404,2025-06-08,North,Apparel,CUST-0099,7,53.38,373.66
ORD-00480,2024-02-28,South,Sporting Goods,CUST-0025,6,70.85,425.1
ORD-00174,2025-01-25,North,Sporting Goods,CUST-0137,3,45.46,136.38
ORD-00066,2024-06-24,South,Home Goods,CUST-0092,5,142.59,712.95
ORD-00467,2024-03-30,East,Apparel,CUST-0054,3,221.1,663.3
ORD-00389,2025-04-26,East,Electronics,CUST-0172,2,256.35,512.7
ORD-00228,2024-11-08,East,Home Goods,CUST-0167,1,260.61,260.61
ORD-00443,2024-03-12,North,Books,CUST-0002,9,128.87,1159.83
ORD-00110,2025-01-15,East,Electronics,CUST-0051,10,134.29,1342.9
ORD-00257,2024-12-31,South,Apparel,CUST-0143,10,49.18,491.8
ORD-00473,2024-08-21,North,Sporting Goods,CUST-0075,7,222.07,1554.49
ORD-00302,2025-03-22,North,Home Goods,CUST-0026,5,190.08,950.4
ORD-00304,2025-04-28,West,Apparel,CUST-0158,1,210.51,210.51
ORD-00033,2024-02-19,North,Books,CUST-0017,11,168.67,1855.37
ORD-00295,2024-10-21,North,Home Goods,CUST-0128,1,273.66,273.66
ORD-00477,2025-04-02,North,Books,CUST-0094,6,143.47,860.82
ORD-00068,2024-07-19,East,Sporting Goods,CUST-0163,7,12.62,88.34
ORD-00203,2024-09-24,East,Sporting Goods,CUST-0008,3,110.8,332.4
ORD-00246,2024-02-15,South,Books,CUST-0150,5,193.58,967.9
ORD-00148,2024-05-06,North,Sporting Goods,CUST-0168,9,240.45,2164.05
ORD-00417,2025-06-07,West,Apparel,CUST-0111,7,200.72,1405.04
ORD-00307,2024-06-12,North,Electronics,CUST-0059,4,29.63,118.52
ORD-00480,2024-02-28,South,Sporting Goods,CUST-0025,6,70.85,425.1
ORD-00214,2024-08-30,South,Sporting Goods,CUST-0021,6,265.99,1595.94
ORD-00290,2024-09-12,West,Sporting Goods,CUST-0075,10,30.7,307.0
ORD-00362,2025-04-26,East,Apparel,CUST-0135,11,298.11,3279.21
ORD-00301,2024-07-15,South,Electronics,CUST-0048,9,186.22,1675.98
ORD-00090,2025-03-25,West,Electronics,CUST-0004,4,57.58,230.32
ORD-00456,2024-10-26,East,Home Goods,CUST-0086,11,291.45,3205.95
ORD-00269,2024-11-26,North,Electronics,CUST-0022,6,46.7,280.2
ORD-00119,2024-05-12,South,Electronics,CUST-0098,8,298.27,2386.16
ORD-00498,2024-07-21,South,Books,CUST-0160,4,105.83,423.32
ORD-00451,2025-06-02,North,Books,CUST-0151,1,285.96,285.96
ORD-00320,2025-02-19,South,Apparel,CUST-0139,8,188.96,1511.68
ORD-00241,2024-03-16,East,Home Goods,CUST-0041,3,79.74,239.22
ORD-00091,2024-08-23,North,Sporting Goods,CUST-0159,1,64.99,64.99
ORD-00377,2025-02-01,East,Apparel,CUST-0153,8,86.59,692.72
ORD-00139,2024-07-06,North,Electronics,CUST-0097,2,79.8,159.6
ORD-00102,2024-04-17,North,Sporting Goods,CUST-0120,3,48.9,146.7
ORD-00460,2024-02-27,South,Electronics,CUST-0011,6,187.24,1123.44
ORD-00430,2025-01-21,South,Books,CUST-0049,8,136.24,1089.92
ORD-00314,2024-05-31,East,Home Goods,CUST-0010,11,77.22,849.42
ORD-00360,2025-02-08,South,Sporting Goods,CUST-0038,5,84.76,423.8
ORD-00156,2024-12-23,West,Apparel,CUST-0088,7,125.4,877.8
ORD-00368,2024-06-19,South,Sporting Goods,CUST-0032,2,67.53,135.06
ORD-00297,2025-04-03,South,Books,CUST-0030,10,174.1,1741.0
ORD-00272,2024-01-13,South,Apparel,CUST-0057,1,234.13,234.13
ORD-00411,2024-04-04,North,Electronics,CUST-0095,2,11.22,22.44
ORD-00365,2024-03-03,North,Books,CUST-0136,1,194.6,194.6
ORD-00437,2024-11-02,South,Apparel,CUST-0115,9,146.71,1320.39
ORD-00359,2024-02-19,East,Home Goods,CUST-0112,8,81.13,649.04
ORD-00116,2024-11-03,South,Electronics,CUST-0037,8,70.22,561.76
ORD-00465,2024-01-04,East,Books,CUST-0084,9,224.01,2016.09
ORD-00052,2024-04-15,North,Books,CUST-0055,4,136.14,544.56
ORD-00271,2024-06-08,West,Apparel,CUST-0058,8,177.43,1419.44
ORD-00495,2024-06-05,South,Sporting Goods,CUST-0075,9,146.79,1321.11
ORD-00264,2025-05-14,Unknown,Sporting Goods,CUST-0093,1,34.28,34.28
ORD-00061,2025-05-13,South,Apparel,CUST-0161,7,299.66,2097.62
ORD-00341,2024-12-08,West,Home Goods,CUST-0076,5,17.39,86.95
ORD-00165,2024-08-13,North,Home Goods,CUST-0171,3,275.88,827.64
ORD-00205,2024-09-04,North,Books,CUST-0082,1,146.39,146.39
ORD-00421,2025-05-15,North,Apparel,CUST-0047,4,152.27,609.08
ORD-00133,2024-02-18,East,Electronics,CUST-0093,11,195.54,2150.94
ORD-00323,2024-11-27,South,Apparel,CUST-0061,2,162.37,324.74
ORD-00309,2024-06-19,East,Electronics,CUST-0056,9,127.44,1146.96
ORD-00083,2024-03-27,East,Home Goods,CUST-0059,4,125.29,501.16
ORD-00441,2025-06-09,North,Electronics,CUST-0065,8,73.29,586.32
ORD-00355,2025-06-07,West,Electronics,CUST-0056,8,256.12,2048.96
ORD-00238,2024-08-21,North,Electronics,CUST-0049,3,71.05,213.15
ORD-00169,2024-06-29,North,Home Goods,CUST-0168,1,22.76,22.76
ORD-00472,2025-03-10,South,Books,CUST-0018,1,291.08,291.08
ORD-00031,2024-08-31,North,Electronics,CUST-0100,11,98.03,1078.33
ORD-00023,2024-04-08,North,Electronics,CUST-0118,3,265.79,797.37
ORD-00345,2025-05-03,North,Sporting Goods,CUST-0106,6,56.87,341.22
ORD-00032,2024-05-02,North,Electronics,CUST-0032,9,45.16,406.44
ORD-00454,2024-01-14,West,Home Goods,CUST-0085,5,291.3,1456.5
ORD-00053,2024-07-15,South,Home Goods,CUST-0065,3,96.47,289.41
ORD-00481,2024-06-04,South,Sporting Goods,CUST-0117,8,258.99,2071.92
ORD-00373,2024-08-09,West,Sporting Goods,CUST-0011,10,295.8,2958.0
ORD-00244,2024-12-16,South,Electronics,CUST-0021,11,287.89,3166.79
ORD-00237,2024-12-24,South,Home Goods,CUST-0045,7,266.63,1866.41
ORD-00057,2024-10-22,South,Books,CUST-0132,9,279.56,2516.04
ORD-00364,2025-04-27,West,Apparel,CUST-0022,7,161.82,1132.74
ORD-00003,2024-12-19,South,Apparel,CUST-0072,9,116.31,1046.79
ORD-00059,2025-02-05,North,Books,,1,195.76,195.76
ORD-00369,2024-01-12,North,Electronics,CUST-0030,10,162.33,1623.3
ORD-00229,2024-10-22,East,Home Goods,CUST-0052,7,17.02,119.14
ORD-00262,2024-04-02,West,Home Goods,CUST-0179,5,57.39,286.95
ORD-00207,2025-02-16,West,Books,CUST-0025,8,35.39,283.12
ORD-00075,2025-01-05,West,Electronics,CUST-0125,9,39.73,357.57
ORD-00400,2024-06-16,North,Apparel,CUST-0132,3,24.04,72.12
ORD-00303,2024-01-06,North,Home Goods,CUST-0103,11,47.44,521.84
ORD-00414,2024-03-12,North,Sporting Goods,CUST-0108,3,168.45,505.35
ORD-00409,2025-05-19,East,Electronics,CUST-0084,2,242.4,484.8
ORD-00081,2025-05-22,East,Apparel,CUST-0149,5,267.85,1339.25
ORD-00452,2025-05-14,South,Sporting Goods,CUST-0160,6,11.52,69.12
ORD-00027,2024-08-05,South,Apparel,CUST-0110,6,112.44,674.64
ORD-00356,2025-06-19,East,Books,CUST-0066,1,299.66,299.66
ORD-00461,2025-01-25,West,Books,CUST-0061,11,187.5,2062.5
ORD-00121,2024-08-25,East,Apparel,CUST-0138,10,68.74,687.4
ORD-00347,2025-06-19,East,Home Goods,CUST-0059,10,103.26,1032.6
